,RMSE_train,RMSE_test,R2_train,R2_test,R_train,R_test,Time
CV1-1,0.6233135727710255,0.8838898017003598,0.7374176254814905,0.4876364157004929,0.8637879598289704,0.6991911988054446,44.964845180511475
CV1-2,0.628589738738498,0.8722125531334028,0.7362419180699205,0.4753985112621457,0.8629005478537919,0.6916822665565779,44.04647421836853
CV1-3,0.6260919279064928,0.872090777274755,0.7373868092066785,0.4834479605756381,0.8636921466708437,0.6982916106889183,45.082003116607666
CV1-4,0.6221781553676262,0.8922936488006646,0.7399802636095314,0.4646127673879342,0.8650750624765842,0.6855527582958152,45.173311948776245
CV1-5,0.6246838544334407,0.8832861943937484,0.7370537931462087,0.4822456001801473,0.8635048173935749,0.696071086093758,43.359344720840454
CV2-1,0.623735540271741,0.8848095449712622,0.7382123963385272,0.47762541989784624,0.8640529266643112,0.6920578766220398,44.874244928359985
CV2-2,0.6357275986552499,0.8412883848200484,0.7297240334614485,0.5158832983708859,0.8591309893563968,0.7189064354311313,44.378299951553345
CV2-3,0.622339996267957,0.905926891219891,0.7387236447549121,0.45784868740754936,0.8643051175881733,0.679152723044297,44.43345808982849
CV2-4,0.6293038706429345,0.8562923724421364,0.7373698617589928,0.4805110708507776,0.8636571075524885,0.6973153943700424,44.73668384552002
CV2-5,0.6193159133075793,0.8927676510014139,0.7393534068650436,0.4881303470259626,0.8648640409723815,0.6988470442177821,45.544599533081055
CV3-1,0.6245340817270894,0.8929574141383073,0.7365144492980835,0.4760986361983497,0.8629634489527985,0.6912814242305828,44.185723066329956
CV3-2,0.6221344772240538,0.9011725844634747,0.7404607634832131,0.4499909414549873,0.8653296437113336,0.6732225315409524,44.92970275878906
CV3-3,0.6289698101074201,0.8681000803402309,0.7351122824789107,0.4870793003820927,0.8621670537486347,0.7007855372891454,44.40768551826477
CV3-4,0.6254623459391407,0.8856764637491396,0.7362647042275783,0.48038667942030333,0.8630340173942274,0.6958580200092251,45.083046197891235
CV3-5,0.6254597901338268,0.8600235429546914,0.7382842070479396,0.4948481509549606,0.8645038023325429,0.705791244190933,45.107680797576904
CV4-1,0.6253853839628281,0.8789151610811434,0.7381871402024076,0.4737136102480697,0.8641273210699675,0.6918829580377339,44.91563105583191
CV4-2,0.6298747773180648,0.8501238951319331,0.736442642511548,0.49168957837038385,0.8631304533782574,0.7027673667349357,45.51296806335449
CV4-3,0.6250890093435335,0.8774584272019192,0.7370017675457772,0.4868690469949428,0.8634445059694771,0.6997660333192977,45.02331900596619
CV4-4,0.6262981825265088,0.8730074347701972,0.7370952102650195,0.4833832116792167,0.8634415736561349,0.6966505590452328,44.40608358383179
CV4-5,0.6194808967210219,0.9134354315426594,0.7382973075462055,0.47108995989336655,0.8642143941652293,0.6882199315781361,44.18016076087952
Prediction,0.653853087747568,0.8232831641456664,0.7128117776223553,0.5031921672694262,0.849077467907353,0.7106876684159338,52.632680892944336
