,RMSE_train,RMSE_test,R2_train,R2_test,R_train,R_test,Time
CV1-1,0.7357149969212594,0.9082153378829879,0.6341764824606403,0.4590468264302625,0.7976252537826318,0.6794216501207733,5.560576438903809
CV1-2,0.7367574422187455,0.9119159691840203,0.6376566756410633,0.42655140241249156,0.7995087373678132,0.6603778319278024,5.558391332626343
CV1-3,0.7300188864369983,0.9286281077996426,0.6429668682942673,0.4143011884512867,0.8032660447366459,0.6506247056160304,5.603057146072388
CV1-4,0.7303737958572601,0.9045406950109952,0.6416832071102245,0.44981514968097713,0.8023950647363137,0.6737814916163303,5.572123289108276
CV1-5,0.7367169658733638,0.9241630483328727,0.6342808596111933,0.43321530741653935,0.7972985572913108,0.661332493609052,5.5553061962127686
CV2-1,0.7354805321342864,0.9055135460409699,0.6360091558761445,0.4528929134134707,0.7985424240435901,0.6750808521080329,5.581651926040649
CV2-2,0.7403857760415095,0.8798462309223672,0.6334093102815219,0.4704904030198176,0.7969877022584881,0.6882060031738335,5.59676456451416
CV2-3,0.7280279883552125,0.947674150510352,0.6424466638162576,0.4067301469689838,0.8024170145729295,0.643808375727188,5.6092681884765625
CV2-4,0.7447632453182271,0.9066326694822057,0.6321589210684724,0.4176355252826919,0.7960505306471766,0.6548029374019563,5.617302894592285
CV2-5,0.7304960960061172,0.9293599498398962,0.6373702984143925,0.44530992213544063,0.799279777431747,0.6683995407630019,5.600022554397583
CV3-1,0.7382394155355294,0.9356405331422046,0.6318379877362377,0.4248169367352158,0.7956435059005527,0.6556525762566479,5.60686469078064
CV3-2,0.735730769469485,0.9368438897786748,0.6370286704659143,0.40558692024242793,0.7990634440540778,0.6420820827252299,5.676248073577881
CV3-3,0.7374086878629497,0.9037780263071769,0.6359016418278696,0.44405197818781916,0.7985540147271308,0.6714456372084256,5.601488828659058
CV3-4,0.7338841850679018,0.9124619368780997,0.6369044098280388,0.44848213803110637,0.7992514188391436,0.6734361234026959,5.594181537628174
CV3-5,0.7465132133305538,0.883518649214439,0.627174044805475,0.46687050682965725,0.7928334810595373,0.6860941991578415,5.573223352432251
CV4-1,0.7403821824963478,0.9061274032274959,0.6330495386351904,0.4406202299547366,0.7966158294398498,0.6677621667050995,5.5997819900512695
CV4-2,0.7469817202788968,0.8900963686966116,0.6293306664986897,0.4427646934842905,0.7941582653520896,0.6701705961968207,5.57997727394104
CV4-3,0.7389299045195473,0.9170265793081854,0.6324845598973581,0.4395473057225715,0.7963204345437876,0.6676421151741456,5.609198093414307
CV4-4,0.7406888962947928,0.9213153814431073,0.6322879484130834,0.42462727036604975,0.7960635471699853,0.6581328633218109,5.584615230560303
CV4-5,0.7301209126533065,0.9400179060687345,0.6364685990566749,0.43985771746217284,0.7989410860536202,0.6652867033375192,5.640271186828613
Prediction,0.7263712092556872,0.8612338052188375,0.6455756827190817,0.4563340891012655,0.8043045633300844,0.6795636232551878,8.09059739112854
