,RMSE_train,RMSE_test,R2_train,R2_test,R_train,R_test,Time
CV1-1,0.31533491942905834,0.8504348062573768,0.9327957813856769,0.5256880549163176,0.9774947765386639,0.7273267894102038,24.588415384292603
CV1-2,0.31592741241856115,0.8448109017978336,0.9333736806070324,0.5078427670514353,0.9772255101080961,0.7137440233174273,23.342664003372192
CV1-3,0.3170755213161368,0.8598096004244891,0.932645633192631,0.4978941593213396,0.977093070445707,0.7059741647128001,23.59051537513733
CV1-4,0.31592146045203207,0.8586016344110234,0.932959838399794,0.5042806991150738,0.9773033710435958,0.7111340804616758,23.668880224227905
CV1-5,0.31575115106453766,0.8658069990882825,0.9328205827084852,0.50253435051165,0.9771656463982747,0.7104045261022942,23.584827184677124
CV2-1,0.314439880416551,0.8603608427167249,0.9334691087788238,0.5060946736814034,0.9773389335118582,0.7129369313607227,24.708268642425537
CV2-2,0.3176879033544759,0.8176392896860504,0.932505768845396,0.5427183392007883,0.9771031772136249,0.738973833474031,23.77347731590271
CV2-3,0.31143018687928037,0.8870304420812564,0.9345716307485922,0.4802299389722382,0.9777465634893552,0.6934648359579177,23.786510229110718
CV2-4,0.3192211397694431,0.8278000088257687,0.9324217339702566,0.5145069702184929,0.9772532889685617,0.7175568294889895,23.165313959121704
CV2-5,0.316475461850224,0.867603551299511,0.9319375373633318,0.5165794216322236,0.9768592300999775,0.723312230951805,23.94057273864746
CV3-1,0.31595153226682937,0.8667463570838443,0.9325649864923722,0.5064034859025903,0.9771111257213345,0.7151689382206307,23.693848848342896
CV3-2,0.31550754275157844,0.8728416545140767,0.9332495840837767,0.484029552610327,0.977306853399132,0.6973326733054412,23.891450881958008
CV3-3,0.31719406445974785,0.8445273266484259,0.9326322062951149,0.514557219522491,0.9769838730324942,0.7177170800734203,23.614875078201294
CV3-4,0.31558714283318484,0.8627953072432248,0.9328564159563816,0.5068879480982911,0.9772717631711011,0.712446472801053,24.08342146873474
CV3-5,0.31818736866968966,0.8257965559794389,0.9322675147441492,0.5342558577920001,0.9772670126500437,0.7324089514374962,24.22286820411682
CV4-1,0.31730473787899965,0.8479905048311305,0.9326017478196029,0.5100968796432863,0.9771231238226021,0.7152835518346596,23.823928833007812
CV4-2,0.3190821603542665,0.8279475351764224,0.9323649591835481,0.5178632875608613,0.9770372126228786,0.7202303760877031,23.59250044822693
CV4-3,0.31557552238615083,0.8494773682808463,0.9329689961541415,0.5190734647565283,0.9771660292722557,0.7219571757735161,24.942713975906372
CV4-4,0.3172294788279792,0.8508560474021348,0.9325497954598352,0.5092675121275978,0.9771587089505761,0.7146742506422632,23.617337703704834
CV4-5,0.3126621851743361,0.8811827578150786,0.933334203583448,0.5077813268918006,0.9775044524197557,0.7141151475017887,23.796987295150757
Prediction,0.3102022507449573,0.7952223511761592,0.9353607726250834,0.5364814469942238,0.977598430361881,0.7335459159398953,31.697798013687134
