,RMSE_train,RMSE_test,R2_train,R2_test,R_train,R_test,Time
CV1-1,0.6303770065723217,0.8780085835601593,0.7314327014055386,0.49443205242564514,0.864739732835909,0.7031809440989023,73.85460925102234
CV1-2,0.6247431462270372,0.8700919099439226,0.7394601239064827,0.47794637679737506,0.868915758313488,0.6922181754847481,75.46157646179199
CV1-3,0.6379431861073446,0.9024305773300436,0.7273507335628925,0.4468813558152064,0.8614885942216188,0.6708588068296412,71.15671920776367
CV1-4,0.611588983027748,0.8827332535950518,0.7487557664430102,0.47602401664674365,0.8736837712002236,0.6905452041489529,86.64435720443726
CV1-5,0.6210372180528468,0.8908582193302825,0.7401147669931116,0.4733305884957356,0.8695156839933824,0.6881355675000003,82.06853079795837
CV2-1,0.6177392191895045,0.8794432635040601,0.7432216251553896,0.483942504637074,0.8704379709427164,0.6956879281779955,84.5451192855835
CV2-2,0.6102728830892774,0.8490653816905145,0.7509345749771037,0.506891432712935,0.874219883615106,0.7121308968583896,95.7013578414917
CV2-3,0.6470059179223031,0.9224651235817203,0.7176022778717938,0.43787341933479285,0.8585147069837382,0.6621900754109057,57.39194393157959
CV2-4,0.64697295759397,0.8542749222699336,0.7224149880907063,0.48295604981604934,0.8604562654450406,0.6953089344058551,60.976627588272095
CV2-5,0.6516716594698333,0.9086674995702326,0.7114073654792764,0.46973558759835277,0.8552932802156034,0.6865622059924944,59.157012939453125
CV3-1,0.7033638462797744,0.9205959453817208,0.665801420458525,0.44316548164110614,0.8334022824964586,0.668603073951725,35.68585753440857
CV3-2,0.6951760908526967,0.9033923925904899,0.6759409625820219,0.447277991006801,0.8374235768971489,0.6707738372948902,41.03535485267639
CV3-3,0.6462170111154043,0.8727051685016282,0.7203859479711117,0.4816229937395573,0.8597540490929735,0.6941840606924554,61.13986873626709
CV3-4,0.6361082007046325,0.903541512321153,0.7272103392904501,0.45921294202125973,0.8631385861422552,0.6780104549562841,68.16481637954712
CV3-5,0.620227088795879,0.8505496385095733,0.7426450051344939,0.5059162216812132,0.8700375293694923,0.7120317009657338,87.80742144584656
CV4-1,0.6860195984363705,0.87835681738356,0.6849579198125403,0.47438206009627604,0.8412475377677919,0.6895632924883695,46.18465185165405
CV4-2,0.6221309679854673,0.8515982766078566,0.7428832625951287,0.4899249100461909,0.8700916097286548,0.7007612212375977,88.90358281135559
CV4-3,0.6469798239203467,0.8820213122636306,0.7182586582224191,0.48151849099793165,0.8582675591649562,0.6942026960185732,66.98991918563843
CV4-4,0.6340427420754148,0.8863175324911056,0.730553053335733,0.46751017789522864,0.8647902930347559,0.6839695170436169,71.0995991230011
CV4-5,0.6986131165032279,0.9256578005257265,0.6671674252379651,0.45684093186577923,0.8327032556032512,0.6772646886007686,38.37673807144165
Prediction,0.5925061941509544,0.8176668730084913,0.7641737976911557,0.5099473163256353,0.8810851070981922,0.7147326410370766,142.15872621536255
